state_name,county_name,year,farms,land_owned_acres,land_rented_acres,cropland_acres,harvested_cropland_acres,irrigated_acres,land_in_farms_acres
WASHINGTON,SKAGIT,2022,882,54005.0,45713.0,68346.0,56074.0,24906.0,99718.0
WASHINGTON,SKAMANIA,2022,137,4764.0,1652.0,1646.0,1398.0,483.0,6416.0
WASHINGTON,SNOHOMISH,2022,1418,46137.0,27187.0,40064.0,30602.0,13162.0,73324.0
WASHINGTON,SPOKANE,2022,2386,289339.0,282658.0,391751.0,299784.0,16257.0,571997.0
WASHINGTON,STEVENS,2022,944,312898.0,152384.0,66443.0,44514.0,4964.0,465282.0
WASHINGTON,THURSTON,2022,1108,43849.0,12094.0,19518.0,14072.0,5910.0,55943.0
WASHINGTON,WAHKIAKUM,2022,142,8884.0,1759.0,3086.0,1967.0,125.0,10643.0
WASHINGTON,WALLA WALLA,2022,894,318650.0,394766.0,579774.0,311322.0,88624.0,713416.0
WASHINGTON,WHATCOM,2022,1582,69451.0,33435.0,64682.0,55175.0,33999.0,102886.0
WASHINGTON,WHITMAN,2022,933,454162.0,764139.0,943430.0,685349.0,4583.0,1218301.0
WASHINGTON,YAKIMA,2022,2523,1547096.0,245728.0,339183.0,,253035.0,1792824.0
